1 - FACA TRAMONTINA;2152156411121;Categoria 1;15.06;20.98
1000 - BULE ZANELLA INOX 0,8L 5055;7897217805558;Categoria 1;32.5;36.08
10000 - RELOGIO STUDIO 01004;10000;Categoria 1;55.95;97.29
10001 - RELOGIO STUDIO CASSINO 354;10001;Categoria 1;91.6;159.62
10002 - RELOGIO STUDIO SINUCA GRANDE 460;10002;Categoria 1;109.09;188.15
10003 - RELOGIO STUDIO 01023;10003;Categoria 1;244.48;425.13
10004 - RELOGIO STUDIO TALHERES MESA 324;10004;Categoria 1;45.28;79.37
10005 - RELOGIO STUDIO FRIGIDEIRA CHEFF GOURMET 252;10005;Categoria 1;98.8;171.94
10006 - FOGAO MAESTRO LENHA MINUANO 00401;10006;Categoria 1;192.2;315.8
10007 - MICROONDAS ELECTROLUX 31L INOX MEC41BLUE;10007;Categoria 1;470.21;0.01
10009 - GARRAFA TERMICA CASAMBIENTE 1L BCA GAF002;7898497571584;Categoria 1;23.24;38.3
10011 - GARRAFA TERMICA CASAMBIENTE 1L PTA GAF005;7898497571614;Categoria 1;18.28;38.3
10012 - GARRAFA TERMICA INVICTA LISA 1L 7311.0105;7891691173110;Categoria 1;24.21;39.41
10013 - GARRAFA TERMICA INVICTA LISA 1L 7321;10013;Categoria 1;19.33;29.69
10014 - COPO NADIR FIG. CALDERETA CLASSICO 300ML 7001;7891155031048;Categoria 1;2.29;4.15
10016 - PEGADOR TRAMONTINA CB MADEIRA 26400/100;7891112025424;Categoria 1;23.42;44.5
10017 - RASPADOR TRAMONTINA UTILITA LIMAO 25623/180;7891112060890;Categoria 1;4.91;8.21
10018 - CANECA OXFORD QUARTIER SAVANA/ZEBRA 350ML;7891361566488;Categoria 1;6.79;0.01
10019 - CANECA OXFORD FALL 350ML WHITE MUGS A59479011;7891361672189;Categoria 1;3.02;0.01
10021 - PRATO OXFORD FLAMINGO RASO 28CM BCO;10021;Categoria 1;12.71;23.5
10022 - TIGELA TOYLAND RED 6X9,5 05536020;6900000360200;Categoria 1;2.8;4.72
10023 - TRAVESSA TOYLAND BARCO 7,5X16X25 05536017;6900000360170;Categoria 1;6.74;12.77
10024 - TRAVESSA TOYLAND BARCO 8,5X23X36 05536019;6900000360194;Categoria 1;34.93;58.77
10025 - RECHAUD TOYLAND OVAL 33CM 05536006;10025;Categoria 1;65.14;116
10026 - TRAVESSA TOYLAND RET 24X32 05536034;6900000360347;Categoria 1;34.48;60.99
10027 - TOSTADOR MONDIAL 7-03 BIG TOAST PREMIUM;10027;Categoria 1;53.38;118.55
10028 - AAAA;10028;Categoria 1;555.23;880.23
10029 - VENTILADOR VENTISOL NOTOS 40CM MESA;10029;Categoria 1;55.3;0.01
10030 - TAMPA EVRIHOLDER MONSTER MOSTARDA EV-BGRB-M;714415078010;Categoria 1;9.53;16.43
10031 - TIMER JOIE PIGGY WIGGY MS78039;67742780393;Categoria 1;15.14;25.42
10032 - CORTADOR D&V BATATAS E LEGUMES 579;7898909216072;Categoria 1;9.98;18.32
